,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
200508,  -2.8935,  -0.8179,  -1.0700,  -1.2306,  -0.6203,  -2.4456,  -1.4522,  -1.2004,  -2.2509,  -1.6518,  -2.5527,  -1.0507,  -0.8466,  -1.2241,  -1.1297,  -2.3187,  -0.0599,   0.0952,   0.4093,  -1.9186,  -1.7718,  -1.3382,  -0.4132,   0.1518,  -0.5152
200509,   0.9586,   1.6988,   0.3714,   0.9002,  -0.8327,   0.2385,   1.6015,   0.8943,  -0.8471,   1.1336,  -0.7447,   2.1176,   1.3454,  -0.5763,   0.6874,  -0.0393,   0.4537,   1.3091,   2.6687,   2.0913,  -0.3288,   0.9986,   2.4143,   0.9440,   2.1010
200510,  -3.5162,  -3.9926,  -2.6820,  -2.5017,  -2.0260,  -3.9053,  -1.8561,  -2.8386,  -3.0318,  -2.3583,  -3.0621,  -4.5414,  -2.1151,  -4.1048,  -3.3477,  -1.3106,  -3.4199,  -2.4743,  -4.5924,  -3.2114,  -0.2502,  -3.4479,  -1.7346,  -1.1256,  -1.3657
200511,   5.0190,   3.9743,   4.6807,   4.1233,   3.8254,   5.2282,   4.6357,   4.6789,   4.7625,   4.0899,   7.0847,   6.3392,   3.7579,   4.2661,   1.1886,   5.1144,   4.5715,   3.5766,   3.8227,   4.1035,   3.5112,   3.8576,   3.3471,   3.0896,   2.0854
200512,  -0.3204,   0.1405,  -0.5391,  -0.2042,   0.8356,   0.0478,  -0.9175,  -0.4239,  -0.7482,  -1.0462,   0.9016,   0.3034,   0.5569,   0.4075,  -0.6441,   0.1022,   1.5170,   1.9916,   1.6538,   0.2520,  -0.9653,  -0.3678,   0.7896,   0.7244,  -0.5621
200601,  11.8086,   9.1219,   8.1831,   8.6330,   8.5487,   7.1146,   9.3975,   9.4910,   9.7846,   7.4690,   6.0248,   7.7940,   7.4884,   6.5030,   5.9036,   4.9587,   5.2782,   4.5112,   3.6828,   4.0452,   0.8637,   3.2280,   2.2547,   3.7916,   3.6051
200602,  -0.4906,   0.5310,   0.2812,  -0.7479,  -0.2861,  -0.2989,  -0.4587,  -0.8229,  -0.5324,  -0.6436,   0.3523,  -1.1294,  -0.7390,  -2.7235,  -0.7394,   0.3859,  -0.2366,  -0.5490,  -1.6833,   1.5952,  -0.0654,  -0.0131,   0.0589,   0.4361,  -1.4004
200603,   3.9568,   4.6892,   4.7310,   5.1422,   6.7261,   3.3450,   4.7825,   7.1601,   4.0601,   4.6407,   4.6771,   4.1258,   3.2620,   1.9426,   1.9113,   3.2545,   2.2197,   2.8135,   2.2133,   2.0014,   0.6805,   2.0497,   1.2924,   0.5878,   0.7212
200604,  -1.3241,  -1.5420,  -0.4803,   0.8525,   1.2893,  -0.3842,   1.7554,   2.2663,  -0.2823,   0.8595,  -0.9700,  -0.6905,   1.8813,   1.2162,   1.3042,   0.9029,   1.1553,   0.5624,   1.7657,   3.4229,  -0.6751,   1.6682,   1.3221,   2.9222,   5.1588
200605,  -9.5102,  -6.0747,  -5.0243,  -4.4100,  -4.0266,  -6.2298,  -6.5821,  -4.1721,  -5.1580,  -3.3044,  -6.1815,  -5.6716,  -3.5679,  -3.5246,  -2.6507,  -5.0847,  -3.5473,  -2.3435,  -3.7622,  -3.2996,  -2.9351,  -3.2058,  -2.9041,  -1.7507,  -2.7662
200606,  -0.8060,  -0.4699,  -1.5514,  -0.1217,  -0.5281,   0.2672,   1.2670,  -0.8230,   0.4723,  -0.6534,  -0.8063,  -0.8396,  -0.2476,  -0.6637,  -0.1418,  -0.2930,  -2.5215,  -0.2201,   0.3683,  -1.0018,   0.2906,  -0.8262,   0.9806,   0.0350,   1.2504
200607,  -5.9232,  -3.7797,  -3.4518,  -2.3497,  -2.5510,  -5.0968,  -4.8476,  -3.1084,  -1.7104,  -3.5422,  -6.2312,  -3.2332,  -4.1573,  -1.6970,  -1.2960,  -4.6172,  -3.0652,  -2.7409,  -3.5503,  -1.1498,  -1.1110,   1.3816,   2.1249,   1.8985,   2.5758
200608,   3.2456,   2.5665,   3.0802,   1.9053,   2.7308,   3.1179,   2.6879,   3.3060,   3.4962,   1.1846,   2.7108,   1.8295,   1.9810,   2.6062,   2.6735,   1.0360,   3.3312,   1.0371,   2.7677,   2.4908,   3.6945,   2.4487,   1.7851,  -0.2268,  -0.2977
200609,  -0.2238,   0.0017,  -0.0193,   0.0747,   2.1075,   0.0803,   1.2984,   0.9761,   1.8884,   0.7703,   1.5391,   0.3307,   1.7845,   0.5138,   0.4033,   1.9014,   2.4103,   1.2126,   1.5133,   0.6054,   2.3984,   2.6333,   2.1076,   2.1999,   4.2205
200610,   7.0210,   6.2246,   5.9725,   5.0455,   4.9107,   6.4864,   5.5982,   4.4883,   4.5171,   4.5766,   5.6111,   4.6375,   3.5791,   3.5618,   5.3495,   4.1455,   4.5935,   2.9048,   3.3645,   2.1102,   3.4373,   1.7769,   3.0386,   3.9408,   4.3585
200611,   0.6712,   3.4283,   1.4960,   1.8319,   2.4675,   1.9023,   2.8070,   1.9885,   3.2447,   2.6160,   3.6343,   3.9120,   3.9848,   3.5637,   3.8529,   3.8446,   2.6459,   3.4505,   2.5676,   4.2569,   0.9556,   2.3072,   1.5707,   1.6057,  -0.1028
200612,   0.5840,   0.1754,   1.4342,   2.1731,   3.4612,  -1.8695,  -1.2330,   0.6650,   0.1293,   1.9463,  -0.8145,  -0.2337,   0.7605,   0.6808,   0.4639,  -1.2884,   0.0938,   0.0569,   1.4962,   2.3094,   0.0401,   1.0729,   3.1614,   2.5660,   3.0356
200701,   1.5505,   0.4201,  -0.0012,   0.1829,   2.9312,   2.3593,   1.1129,   0.6228,   1.1951,   2.4982,   4.4237,   2.3018,   2.1073,   3.3118,   1.1800,   4.4723,   3.3966,   2.2396,   1.9935,   1.0404,   2.1943,   0.6662,   1.1206,   0.6100,   2.3898
200702,  -0.5718,  -0.7864,  -0.9575,  -0.7256,  -0.2043,  -1.1737,  -0.3727,   0.0951,  -1.7641,  -0.0478,   0.5532,   0.1729,   1.6523,  -0.1186,   1.0230,  -0.4324,   0.1316,   0.4920,   0.6019,   0.1921,  -2.5609,  -1.5913,  -3.5361,  -1.4504,  -3.1594
200703,   0.4332,  -0.1527,   0.9750,   1.1909,   0.3595,   0.9831,   1.0857,   0.3881,   0.5556,  -0.7867,   3.0105,   2.5663,   1.3667,   0.7080,   1.0168,   1.3313,   0.7584,  -0.2677,  -0.3362,   2.9655,   0.5729,   0.9772,   2.1340,   1.1663,  -0.5722
200704,   3.4572,   0.7441,  -0.0460,   0.1358,   1.3739,   2.3950,   2.5599,   1.8723,   0.5839,   1.8115,   4.2897,   3.6881,   4.5479,   2.6261,   2.0133,   4.2262,   4.4100,   4.7470,   3.8328,   2.5365,   5.3776,   3.8012,   3.7325,   2.3014,   4.5729
200705,   2.2005,   3.6113,   1.7007,   3.2064,   2.4886,   3.4764,   4.2360,   3.9919,   1.5408,   3.7456,   7.1680,   5.2054,   5.0508,   3.9361,   3.3186,   4.4818,   3.0217,   4.8900,   4.5790,   2.2222,   2.6168,   3.9240,   3.8541,   2.6743,   2.5864
200706,   0.2472,  -0.2813,  -1.0011,  -0.6171,  -0.2838,  -1.5470,  -2.1073,  -1.3604,  -3.0304,  -2.0593,  -1.0679,  -0.2100,  -0.5198,  -1.6226,  -3.4337,  -1.1290,  -1.6591,  -2.5934,  -3.7910,  -1.9708,  -1.8310,  -0.4009,  -2.3181,  -2.8572,  -2.2578
