This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202203 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and BEME.

The portfolios are constructed at the end of June.  BEME is book value at the last fiscal year end of the prior calendar year
divided by ME at the end of December of the prior year. 
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
193106,  20.8367,   6.8787,  14.0651,  15.1079,  17.8916,   8.6342,   7.1236,   1.2228,  11.9860,  21.0170,  12.4845,  10.0755,   6.9124,  17.7734,  28.2694,  12.9478,  14.1869,  18.0925,  29.5507,  33.3319,  12.3390,  12.9970,  14.3198,  21.1239,  40.4494
193107,  -6.3445, -11.6991,  -9.6939,  -7.1504,  -5.3213,  -6.0297,  -5.8145,  -7.9333,  -6.4751,  -7.3422,  -6.6277,  -7.7175, -10.3387,  -8.7785, -12.9384,  -5.6389,  -5.3172,  -8.5643,  -9.1387, -13.5493,  -5.5223,  -7.2614, -11.8136, -13.2188,   0.0000
193108, -13.2200,  -0.2852,  -5.0247,  -5.2131,  -5.1187,   4.7199,  -0.6046,   3.0738,  -1.7859,  -4.5564,  -1.2066,  -1.1901,  -1.5112,  -3.2907,  -4.6482,  -1.1445,  -2.5734,   1.5523,   3.6163,   6.6549,  -0.3847,   1.0486,  -1.1521,  -3.8456,   8.4337
193109, -49.4730, -30.9794, -28.4077, -35.0228, -32.0536, -27.7129, -25.9775, -35.7661, -30.6274, -37.3877, -27.7645, -31.5622, -31.9737, -33.6610, -34.1349, -30.4216, -25.8721, -30.3139, -34.1961, -41.4557, -29.8264, -25.2962, -32.4001, -33.5969, -45.5556
193110,  12.6793,  -3.4816,   0.5496,   8.7633,   6.4516,   6.1226,   0.7520,   8.0725,   7.3380,  12.7797,   0.5114,  13.3117,  10.5377,   8.4538,   6.4063,   8.5893,   5.7089,  11.2325,  12.2502,  13.1310,   9.0156,   6.6112,   0.0759,   3.5766,  20.4082
193111, -23.9803, -22.2863, -10.2839,  -8.3374, -11.5092, -12.8176,  -7.5193,  -8.1030,  -5.6009, -11.1334,  -6.5802, -10.2331,  -5.2827, -11.0222, -10.6534,  -7.8923,  -4.4338, -11.5529, -14.0209, -11.4839,  -6.6027, -11.7758, -20.3442, -22.1680,  -6.7797
193112, -25.3044,  -3.7647, -19.4012, -27.1776, -25.0586, -11.1941, -13.7022, -15.0358, -18.6950, -24.1234, -15.6776, -19.1400, -18.2547, -15.5932, -16.2804, -12.2821, -14.8546, -11.8232, -21.8633, -25.7755, -11.4328, -17.0667, -22.8524, -24.3780, -30.9091
193201,   5.5527,  -6.6468,   8.3063,  13.9683,   6.0887,  -1.2147,  -1.9054,   4.6780,  14.2412,  18.3762,   0.9832,   3.6444,   2.2065,  -1.8919,   5.5140,  -3.9442,  -0.9324,  -1.0264,   3.8507,   1.9409,  -3.9187,  -1.9717,   2.6284,  10.9191,   7.8947
193202, -12.7896,  -0.0154,   5.8810,  -1.9977,   3.4665,  -5.4119,   3.2908,  -2.4149,  -4.9362,  -1.2158,  -0.0800,   2.4634,   2.2674,   0.2285,  -1.4858,   3.2317,   4.5150,  -1.7280,   0.9107,   3.7601,   6.5913,   4.5320,   3.1771,  -3.3170,  14.6341
193203, -23.0216,  -3.9056,  -3.2485, -11.5349, -11.8922,  -5.9335, -14.2669, -11.8843,  -4.4813, -13.2422,  -9.2626, -15.4641, -12.0260, -13.7205, -11.1987, -11.8573, -11.8852, -11.8898, -12.7400, -10.1478, -11.8092, -10.8163, -15.0166, -23.5663,   2.1277
